指标,年份,产量
发动机产量(万千瓦),2018,269946.86
发动机产量(万千瓦),2017,267405.13
发动机产量(万千瓦),2016,226001.13
发动机产量(万千瓦),2015,203179.4
发动机产量(万千瓦),2014,214105.4
发动机产量(万千瓦),2013,193670.93
发动机产量(万千瓦),2012,136111.48
发动机产量(万千瓦),2011,137099.43
发动机产量(万千瓦),2010,138592.03
发动机产量(万千瓦),2009,84892.52
发动机产量(万千瓦),2008,93643.99
发动机产量(万千瓦),2007,56641.9
发动机产量(万千瓦),2006,45267.36
发动机产量(万千瓦),2005,36563.46
发动机产量(万千瓦),2004,31893.56
发动机产量(万千瓦),2003,31851.3
发动机产量(万千瓦),2002,28505.75
发动机产量(万千瓦),2001,20531.17
发动机产量(万千瓦),2000,18857.3
发动机产量(万千瓦),1999,17801.62
发动机产量(万千瓦),1998,16034.3
原铝(电解铝)产量(万吨),2022,4021.4
原铝(电解铝)产量(万吨),2021,3850.32
原铝(电解铝)产量(万吨),2020,3708.04
原铝(电解铝)产量(万吨),2019,3512.96
原铝(电解铝)产量(万吨),2018,3683.1
原铝(电解铝)产量(万吨),2017,3328.96
原铝(电解铝)产量(万吨),2016,3264.53
原铝(电解铝)产量(万吨),2015,3141
原铝(电解铝)产量(万吨),2014,2885.79
原铝(电解铝)产量(万吨),2013,2543.81
原铝(电解铝)产量(万吨),2012,2314.14
原铝(电解铝)产量(万吨),2011,1961.39
原铝(电解铝)产量(万吨),2010,1577.13
原铝(电解铝)产量(万吨),2009,1288.61
原铝(电解铝)产量(万吨),2008,1316.54
原铝(电解铝)产量(万吨),2007,1233.97
原铝(电解铝)产量(万吨),2006,926.57
原铝(电解铝)产量(万吨),2005,778.68
原铝(电解铝)产量(万吨),2004,669.04
原铝(电解铝)产量(万吨),2003,586.58
原铝(电解铝)产量(万吨),2002,451.11
原铝(电解铝)产量(万吨),2001,357.58
原铝(电解铝)产量(万吨),2000,298.92
原铝(电解铝)产量(万吨),1999,280.89
原铝(电解铝)产量(万吨),1998,233.57
原盐产量(万吨),2022,5359.9
原盐产量(万吨),2021,5706.51
原盐产量(万吨),2020,5852.68
原盐产量(万吨),2019,6701.44
原盐产量(万吨),2018,6363.61
原盐产量(万吨),2017,6654.17
原盐产量(万吨),2016,6620.1
原盐产量(万吨),2015,6665.54
原盐产量(万吨),2014,7049.71
原盐产量(万吨),2013,7367.6
原盐产量(万吨),2012,6911.78
原盐产量(万吨),2011,6742.16
原盐产量(万吨),2010,7037.76
原盐产量(万吨),2009,6662.79
原盐产量(万吨),2008,6664.43
原盐产量(万吨),2007,6166.97
原盐产量(万吨),2006,5663.13
原盐产量(万吨),2005,4661.06
原盐产量(万吨),2004,4043.44
原盐产量(万吨),2003,3437.7
原盐产量(万吨),2002,3602.43
原盐产量(万吨),2001,3410.51
原盐产量(万吨),2000,3128
原盐产量(万吨),1999,2812.36
原盐产量(万吨),1998,2242.52
原煤产量(亿吨),2022,45.59
原煤产量(亿吨),2021,41.26
原煤产量(亿吨),2020,39.02
原煤产量(亿吨),2019,38.46
原煤产量(亿吨),2018,36.98
原煤产量(亿吨),2017,35.24
原煤产量(亿吨),2016,34.11
原煤产量(亿吨),2015,37.47
原煤产量(亿吨),2014,38.74
原煤产量(亿吨),2013,39.74
原煤产量(亿吨),2012,39.45
原煤产量(亿吨),2011,37.64
原煤产量(亿吨),2010,34.28
原煤产量(亿吨),2009,31.15
原煤产量(亿吨),2008,29.03
原煤产量(亿吨),2007,27.6
原煤产量(亿吨),2006,25.7
原煤产量(亿吨),2005,23.65
原煤产量(亿吨),2004,21.23
原煤产量(亿吨),2003,18.35
原煤产量(亿吨),2002,15.5
原煤产量(亿吨),2001,14.72
原煤产量(亿吨),2000,13.84
原煤产量(亿吨),1999,13.64
原煤产量(亿吨),1998,13.32
原油产量(万吨),2022,20472.2
原油产量(万吨),2021,19888.11
原油产量(万吨),2020,19476.86
原油产量(万吨),2019,19162.83
原油产量(万吨),2018,18932.42
原油产量(万吨),2017,19150.61
原油产量(万吨),2016,19968.52
原油产量(万吨),2015,21455.58
原油产量(万吨),2014,21142.9
原油产量(万吨),2013,20991.9
原油产量(万吨),2012,20747.8
原油产量(万吨),2011,20287.55
原油产量(万吨),2010,20301.4
原油产量(万吨),2009,18948.96
原油产量(万吨),2008,19043.96
原油产量(万吨),2007,18631.82
原油产量(万吨),2006,18476.57
原油产量(万吨),2005,18135.29
原油产量(万吨),2004,17587.33
原油产量(万吨),2003,16959.98
原油产量(万吨),2002,16700
原油产量(万吨),2001,16395.87
原油产量(万吨),2000,16300
原油产量(万吨),1999,16000
原油产量(万吨),1998,16100
厚钢板产量(万吨),2022,
厚钢板产量(万吨),2021,3645.77
厚钢板产量(万吨),2020,3636.02
厚钢板产量(万吨),2019,3202.64
厚钢板产量(万吨),2018,2926.69
厚钢板产量(万吨),2017,2608.92
厚钢板产量(万吨),2016,2530.36
厚钢板产量(万吨),2015,2341.52
厚钢板产量(万吨),2014,2638.5
厚钢板产量(万吨),2013,2499.95
厚钢板产量(万吨),2012,2341.56
厚钢板产量(万吨),2011,2608.15
厚钢板产量(万吨),2010,2350.3
厚钢板产量(万吨),2009,1876.72
厚钢板产量(万吨),2008,2044.89
厚钢板产量(万吨),2007,1803.31
厚钢板产量(万吨),2006,1311.24
厚钢板产量(万吨),2005,1154.75
厚钢板产量(万吨),2004,832.85
厚钢板产量(万吨),2003,
厚钢板产量(万吨),2002,
厚钢板产量(万吨),2001,
厚钢板产量(万吨),2000,
厚钢板产量(万吨),1999,
厚钢板产量(万吨),1998,
卷烟产量(亿支、万箱),2022,24321.5
卷烟产量(亿支、万箱),2021,24182.36
卷烟产量(亿支、万箱),2020,23863.73
卷烟产量(亿支、万箱),2019,23642.49
卷烟产量(亿支、万箱),2018,23375.59
卷烟产量(亿支、万箱),2017,23448.25
卷烟产量(亿支、万箱),2016,23825.76
卷烟产量(亿支、万箱),2015,25890.7
卷烟产量(亿支、万箱),2014,26098.49
卷烟产量(亿支、万箱),2013,25603.86
卷烟产量(亿支、万箱),2012,25160.9
卷烟产量(亿支、万箱),2011,24474
卷烟产量(亿支、万箱),2010,23752.6
卷烟产量(亿支、万箱),2009,22901.5
卷烟产量(亿支、万箱),2008,22199.2
卷烟产量(亿支、万箱),2007,21438.84
卷烟产量(亿支、万箱),2006,20218.13
卷烟产量(亿支、万箱),2005,19389.08
卷烟产量(亿支、万箱),2004,18736.35
卷烟产量(亿支、万箱),2003,3580.86
卷烟产量(亿支、万箱),2002,3467.08
卷烟产量(亿支、万箱),2001,3402.1
卷烟产量(亿支、万箱),2000,3397
卷烟产量(亿支、万箱),1999,3340
卷烟产量(亿支、万箱),1998,3374
十种有色金属产量(万吨),2022,6793.6
十种有色金属产量(万吨),2021,6477.1
十种有色金属产量(万吨),2020,6188.42
十种有色金属产量(万吨),2019,5865.96
十种有色金属产量(万吨),2018,5893.7
十种有色金属产量(万吨),2017,5498.31
十种有色金属产量(万吨),2016,5345.11
十种有色金属产量(万吨),2015,5155.82
十种有色金属产量(万吨),2014,4828.81
十种有色金属产量(万吨),2013,4412.13
十种有色金属产量(万吨),2012,3990.33
十种有色金属产量(万吨),2011,3628.94
十种有色金属产量(万吨),2010,3120.98
十种有色金属产量(万吨),2009,2648.54
十种有色金属产量(万吨),2008,2553.63
十种有色金属产量(万吨),2007,2379.15
十种有色金属产量(万吨),2006,1916.27
十种有色金属产量(万吨),2005,1635
十种有色金属产量(万吨),2004,1441.12
十种有色金属产量(万吨),2003,1228.06
十种有色金属产量(万吨),2002,1012
十种有色金属产量(万吨),2001,883.71
十种有色金属产量(万吨),2000,783.81
十种有色金属产量(万吨),1999,694.7
十种有色金属产量(万吨),1998,615
化学药品原药产量(万吨),2022,
化学药品原药产量(万吨),2021,316.88
化学药品原药产量(万吨),2020,291.9
化学药品原药产量(万吨),2019,276.85
化学药品原药产量(万吨),2018,230.37
化学药品原药产量(万吨),2017,355.44
化学药品原药产量(万吨),2016,340.83
化学药品原药产量(万吨),2015,334.81
化学药品原药产量(万吨),2014,303.4
化学药品原药产量(万吨),2013,263.3
化学药品原药产量(万吨),2012,292.19
化学药品原药产量(万吨),2011,248.85
化学药品原药产量(万吨),2010,226.14
化学药品原药产量(万吨),2009,201.22
化学药品原药产量(万吨),2008,209.7
化学药品原药产量(万吨),2007,205.07
化学药品原药产量(万吨),2006,176.55
化学药品原药产量(万吨),2005,126.7
化学药品原药产量(万吨),2004,103.05
化学药品原药产量(万吨),2003,99.42
化学药品原药产量(万吨),2002,73.93
化学药品原药产量(万吨),2001,76.22
化学药品原药产量(万吨),2000,52.57
化学药品原药产量(万吨),1999,43.63
化学药品原药产量(万吨),1998,41.55
化学纤维产量(万吨),2022,6697.8
化学纤维产量(万吨),2021,6708.47
化学纤维产量(万吨),2020,6124.68
化学纤维产量(万吨),2019,5883.37
化学纤维产量(万吨),2018,5418.02
化学纤维产量(万吨),2017,4877.05
化学纤维产量(万吨),2016,4886.36
化学纤维产量(万吨),2015,4831.71
化学纤维产量(万吨),2014,4389.75
化学纤维产量(万吨),2013,4160.28
化学纤维产量(万吨),2012,3837.37
化学纤维产量(万吨),2011,3390.07
化学纤维产量(万吨),2010,3090
化学纤维产量(万吨),2009,2747.28
化学纤维产量(万吨),2008,2453.29
化学纤维产量(万吨),2007,2413.78
化学纤维产量(万吨),2006,2073.18
化学纤维产量(万吨),2005,1664.79
化学纤维产量(万吨),2004,1699.8
化学纤维产量(万吨),2003,1181.15
化学纤维产量(万吨),2002,991.2
化学纤维产量(万吨),2001,841.38
化学纤维产量(万吨),2000,694
化学纤维产量(万吨),1999,600
化学纤维产量(万吨),1998,510
化学农药原药产量(万吨),2022,
化学农药原药产量(万吨),2021,249.85
化学农药原药产量(万吨),2020,214.8
化学农药原药产量(万吨),2019,211.81
化学农药原药产量(万吨),2018,240.02
化学农药原药产量(万吨),2017,250.74
化学农药原药产量(万吨),2016,320.97
化学农药原药产量(万吨),2015,374
化学农药原药产量(万吨),2014,374.4
化学农药原药产量(万吨),2013,303.14
化学农药原药产量(万吨),2012,290.88
化学农药原药产量(万吨),2011,230
化学农药原药产量(万吨),2010,223.52
化学农药原药产量(万吨),2009,208.92
化学农药原药产量(万吨),2008,209.99
化学农药原药产量(万吨),2007,176.48
化学农药原药产量(万吨),2006,138.46
化学农药原药产量(万吨),2005,114.73
化学农药原药产量(万吨),2004,82.08
化学农药原药产量(万吨),2003,76.72
化学农药原药产量(万吨),2002,92.9
化学农药原药产量(万吨),2001,78.72
化学农药原药产量(万吨),2000,60.7
化学农药原药产量(万吨),1999,62.5
化学农药原药产量(万吨),1998,55.9
初级形态的塑料产量(万吨),2022,
初级形态的塑料产量(万吨),2021,11198.41
初级形态的塑料产量(万吨),2020,10542.2
初级形态的塑料产量(万吨),2019,9743.65
初级形态的塑料产量(万吨),2018,8854.87
初级形态的塑料产量(万吨),2017,8458.08
初级形态的塑料产量(万吨),2016,8307.81
初级形态的塑料产量(万吨),2015,7807.66
初级形态的塑料产量(万吨),2014,7088.84
初级形态的塑料产量(万吨),2013,6293.03
初级形态的塑料产量(万吨),2012,5330.92
初级形态的塑料产量(万吨),2011,4992.31
初级形态的塑料产量(万吨),2010,4432.59
初级形态的塑料产量(万吨),2009,3629.97
初级形态的塑料产量(万吨),2008,3680.23
初级形态的塑料产量(万吨),2007,3184.54
初级形态的塑料产量(万吨),2006,2602.6
初级形态的塑料产量(万吨),2005,2308.86
初级形态的塑料产量(万吨),2004,2366.5
初级形态的塑料产量(万吨),2003,1652.08
初级形态的塑料产量(万吨),2002,1455.67
初级形态的塑料产量(万吨),2001,1288.71
初级形态的塑料产量(万吨),2000,1087.51
初级形态的塑料产量(万吨),1999,871.1
初级形态的塑料产量(万吨),1998,692.58
冷轧薄宽钢带产量(万吨),2022,
冷轧薄宽钢带产量(万吨),2021,7190.39
冷轧薄宽钢带产量(万吨),2020,6061.19
冷轧薄宽钢带产量(万吨),2019,5374.78
冷轧薄宽钢带产量(万吨),2018,5571.45
冷轧薄宽钢带产量(万吨),2017,5270.83
冷轧薄宽钢带产量(万吨),2016,4941.47
冷轧薄宽钢带产量(万吨),2015,4200.27
冷轧薄宽钢带产量(万吨),2014,4259.6
冷轧薄宽钢带产量(万吨),2013,3977.09
冷轧薄宽钢带产量(万吨),2012,3644.31
冷轧薄宽钢带产量(万吨),2011,3269.51
冷轧薄宽钢带产量(万吨),2010,2934.93
冷轧薄宽钢带产量(万吨),2009,2192.48
冷轧薄宽钢带产量(万吨),2008,2119.59
冷轧薄宽钢带产量(万吨),2007,1747.76
冷轧薄宽钢带产量(万吨),2006,1285.8
冷轧薄宽钢带产量(万吨),2005,749.59
冷轧薄宽钢带产量(万吨),2004,
冷轧薄宽钢带产量(万吨),2003,
冷轧薄宽钢带产量(万吨),2002,
冷轧薄宽钢带产量(万吨),2001,
冷轧薄宽钢带产量(万吨),2000,
冷轧薄宽钢带产量(万吨),1999,
冷轧薄宽钢带产量(万吨),1998,
农用氮、磷、钾化肥产量(万吨),2022,5573.3
农用氮、磷、钾化肥产量(万吨),2021,5543.58
农用氮、磷、钾化肥产量(万吨),2020,5495.97
农用氮、磷、钾化肥产量(万吨),2019,5731.18
农用氮、磷、钾化肥产量(万吨),2018,5403.51
农用氮、磷、钾化肥产量(万吨),2017,5891.71
农用氮、磷、钾化肥产量(万吨),2016,6629.62
农用氮、磷、钾化肥产量(万吨),2015,7431.99
农用氮、磷、钾化肥产量(万吨),2014,6876.85
农用氮、磷、钾化肥产量(万吨),2013,7026.18
农用氮、磷、钾化肥产量(万吨),2012,6832.1
农用氮、磷、钾化肥产量(万吨),2011,6419.39
农用氮、磷、钾化肥产量(万吨),2010,6337.86
农用氮、磷、钾化肥产量(万吨),2009,6385.01
农用氮、磷、钾化肥产量(万吨),2008,6028.05
农用氮、磷、钾化肥产量(万吨),2007,5824.98
农用氮、磷、钾化肥产量(万吨),2006,5345.05
农用氮、磷、钾化肥产量(万吨),2005,5177.86
农用氮、磷、钾化肥产量(万吨),2004,4804.82
农用氮、磷、钾化肥产量(万吨),2003,3881.31
农用氮、磷、钾化肥产量(万吨),2002,3791
农用氮、磷、钾化肥产量(万吨),2001,3383.01
农用氮、磷、钾化肥产量(万吨),2000,3186
农用氮、磷、钾化肥产量(万吨),1999,3251
农用氮、磷、钾化肥产量(万吨),1998,3010
传真机产量(万部),2022,
传真机产量(万部),2021,
传真机产量(万部),2020,
传真机产量(万部),2019,60.69
传真机产量(万部),2018,177.01
传真机产量(万部),2017,230.19
传真机产量(万部),2016,178.48
传真机产量(万部),2015,168.04
传真机产量(万部),2014,175.18
传真机产量(万部),2013,172.08
传真机产量(万部),2012,263.57
传真机产量(万部),2011,268.13
传真机产量(万部),2010,181.09
传真机产量(万部),2009,683.51
传真机产量(万部),2008,749.4
传真机产量(万部),2007,888.53
传真机产量(万部),2006,1188.63
传真机产量(万部),2005,1068.15
传真机产量(万部),2004,851.2
传真机产量(万部),2003,746.58
传真机产量(万部),2002,297.29
传真机产量(万部),2001,318.2
传真机产量(万部),2000,196.3
传真机产量(万部),1999,159.99
传真机产量(万部),1998,128.69
乙烯产量(万吨),2022,2897.5
乙烯产量(万吨),2021,2825.67
乙烯产量(万吨),2020,2159.96
乙烯产量(万吨),2019,2052.29
乙烯产量(万吨),2018,1861.76
乙烯产量(万吨),2017,1821.84
乙烯产量(万吨),2016,1781.14
乙烯产量(万吨),2015,1714.6
乙烯产量(万吨),2014,1696.69
乙烯产量(万吨),2013,1599.31
乙烯产量(万吨),2012,1486.8
乙烯产量(万吨),2011,1527.5
乙烯产量(万吨),2010,1421.34
乙烯产量(万吨),2009,1072.62
乙烯产量(万吨),2008,987.58
乙烯产量(万吨),2007,1027.8
乙烯产量(万吨),2006,940.51
乙烯产量(万吨),2005,755.54
乙烯产量(万吨),2004,629.85
乙烯产量(万吨),2003,611.77
乙烯产量(万吨),2002,543.02
乙烯产量(万吨),2001,480.6
乙烯产量(万吨),2000,470
乙烯产量(万吨),1999,435
乙烯产量(万吨),1998,377.3
中成药产量(万吨),2022,
中成药产量(万吨),2021,249.95
中成药产量(万吨),2020,244.88
中成药产量(万吨),2019,282.36
中成药产量(万吨),2018,259.01
中成药产量(万吨),2017,383.61
中成药产量(万吨),2016,374.6
中成药产量(万吨),2015,350.35
中成药产量(万吨),2014,328.77
中成药产量(万吨),2013,272.05
中成药产量(万吨),2012,313.04
中成药产量(万吨),2011,259.48
中成药产量(万吨),2010,215.74
中成药产量(万吨),2009,200.8
中成药产量(万吨),2008,177.78
中成药产量(万吨),2007,112.89
中成药产量(万吨),2006,110.98
中成药产量(万吨),2005,106.48
中成药产量(万吨),2004,146.24
中成药产量(万吨),2003,70.91
中成药产量(万吨),2002,94.32
中成药产量(万吨),2001,65.59
中成药产量(万吨),2000,38.8
中成药产量(万吨),1999,34.25
中成药产量(万吨),1998,34.26
中小型型钢产量(万吨),2022,
中小型型钢产量(万吨),2021,4684.41
中小型型钢产量(万吨),2020,5174.1
中小型型钢产量(万吨),2019,4889.77
中小型型钢产量(万吨),2018,4970.45
中小型型钢产量(万吨),2017,4604.81
中小型型钢产量(万吨),2016,4774.57
中小型型钢产量(万吨),2015,5212.95
中小型型钢产量(万吨),2014,5617.43
中小型型钢产量(万吨),2013,5723.8
中小型型钢产量(万吨),2012,4718.32
中小型型钢产量(万吨),2011,4471.91
中小型型钢产量(万吨),2010,4116.58
中小型型钢产量(万吨),2009,4159.46
中小型型钢产量(万吨),2008,3075.08
中小型型钢产量(万吨),2007,2929.54
中小型型钢产量(万吨),2006,2501.37
中小型型钢产量(万吨),2005,2830.73
中小型型钢产量(万吨),2004,1365.55
中小型型钢产量(万吨),2003,
中小型型钢产量(万吨),2002,
中小型型钢产量(万吨),2001,
中小型型钢产量(万吨),2000,
中小型型钢产量(万吨),1999,
中小型型钢产量(万吨),1998,3231.6
中厚宽钢带产量(万吨),2022,
中厚宽钢带产量(万吨),2021,17932.67
中厚宽钢带产量(万吨),2020,17046.08
中厚宽钢带产量(万吨),2019,14938.25
中厚宽钢带产量(万吨),2018,14203.43
中厚宽钢带产量(万吨),2017,13779.55
中厚宽钢带产量(万吨),2016,12923.48
中厚宽钢带产量(万吨),2015,11359.74
中厚宽钢带产量(万吨),2014,12300.8
中厚宽钢带产量(万吨),2013,12192.53
中厚宽钢带产量(万吨),2012,10870.03
中厚宽钢带产量(万吨),2011,10505.1
中厚宽钢带产量(万吨),2010,10281.96
中厚宽钢带产量(万吨),2009,8385.23
中厚宽钢带产量(万吨),2008,7421.47
中厚宽钢带产量(万吨),2007,6304.12
中厚宽钢带产量(万吨),2006,4524.02
中厚宽钢带产量(万吨),2005,3713.87
中厚宽钢带产量(万吨),2004,3103.66
中厚宽钢带产量(万吨),2003,
中厚宽钢带产量(万吨),2002,
中厚宽钢带产量(万吨),2001,
中厚宽钢带产量(万吨),2000,
中厚宽钢带产量(万吨),1999,
中厚宽钢带产量(万吨),1998,
两轮脚踏自行车产量(万辆),2022,
两轮脚踏自行车产量(万辆),2021,5978.18
两轮脚踏自行车产量(万辆),2020,5541.65
两轮脚踏自行车产量(万辆),2019,4978.97
两轮脚踏自行车产量(万辆),2018,5723.9
两轮脚踏自行车产量(万辆),2017,7105.24
两轮脚踏自行车产量(万辆),2016,6615.22
两轮脚踏自行车产量(万辆),2015,6882.24
两轮脚踏自行车产量(万辆),2014,7910.14
两轮脚踏自行车产量(万辆),2013,7545.25
两轮脚踏自行车产量(万辆),2012,7612.85
两轮脚踏自行车产量(万辆),2011,7169.11
两轮脚踏自行车产量(万辆),2010,6819.48
两轮脚踏自行车产量(万辆),2009,5757.65
两轮脚踏自行车产量(万辆),2008,7185.18
两轮脚踏自行车产量(万辆),2007,7475.2
两轮脚踏自行车产量(万辆),2006,7731.07
两轮脚踏自行车产量(万辆),2005,6900.64
两轮脚踏自行车产量(万辆),2004,7906.22
两轮脚踏自行车产量(万辆),2003,5451.7
两轮脚踏自行车产量(万辆),2002,3957.52
两轮脚踏自行车产量(万辆),2001,2902.26
两轮脚踏自行车产量(万辆),2000,2906.79
两轮脚踏自行车产量(万辆),1999,2397.57
两轮脚踏自行车产量(万辆),1998,2312.49
